city,lat,lng,country,iso2,admin,capital,population,population_proper
Falāvarjān,32.555301,51.509735,Iran,IR,Eşfahān,minor,,
Moḩammadābād,28.668767,59.073411,Iran,IR,Kermān,minor,,
Būkān,36.521,46.2089,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Amlash,37.097427,50.186522,Iran,IR,Gīlān,minor,,
Javānrūd,34.8067,46.4913,Iran,IR,Kermānshāh,minor,,
Omīdīyeh,30.759722,49.705,Iran,IR,Khūzestān,minor,,
Joghtāy,36.636188,57.072836,Iran,IR,Khorāsān-e Raẕavī,minor,,
‘Abbāsābād,36.727686,51.105737,Iran,IR,Māzandarān,minor,,
Fereydūnkenār,36.686418,52.522548,Iran,IR,Māzandarān,minor,,
Kūhdasht,33.533349,47.609989,Iran,IR,Lorestān,minor,,
Ḩājjīābād,28.357352,54.423346,Iran,IR,Fārs,minor,,
Kherāmeh,29.498959,53.311989,Iran,IR,Fārs,minor,,
Eqlīd,30.898854,52.697011,Iran,IR,Fārs,minor,,
Malārd,35.6659,50.9767,Iran,IR,Tehrān,minor,,
Eslāmshahr,35.552224,51.235036,Iran,IR,Tehrān,minor,,
Bāgh-e Malek,31.523135,49.886239,Iran,IR,Khūzestān,minor,,
Ravānsar,34.7153,46.6533,Iran,IR,Kermānshāh,minor,,
Arzū’īyeh,28.4414,56.3728,Iran,IR,Kermān,minor,,
Maşīrī,30.245844,51.522326,Iran,IR,Fārs,minor,,
Abū Mūsā,25.86698,55.023633,Iran,IR,,minor,,
Khvāf,34.576299,60.14093,Iran,IR,Khorāsān-e Raẕavī,minor,,
Sūsangerd,31.563497,48.189576,Iran,IR,Khūzestān,minor,,
Bozghān,36.286395,58.585864,Iran,IR,Khorāsān-e Raẕavī,minor,,
Īz̄eh,31.834079,49.867246,Iran,IR,Khūzestān,minor,,
Qarah Ẕīā’ od Dīn,38.8915,45.0255,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Tajrīsh,35.8044,51.4256,Iran,IR,Tehrān,minor,,
Zarrīnābād,36.426221,48.281583,Iran,IR,Zanjān,minor,,
Mīnāb,27.131043,57.087159,Iran,IR,Hormozgān,minor,,
Langarūd,37.197006,50.153508,Iran,IR,Gīlān,minor,,
Fīrūzkūh,35.756736,52.770624,Iran,IR,Tehrān,minor,,
Bandar-e Anzalī,37.473182,49.457853,Iran,IR,Gīlān,minor,,
Ţāleqān,36.174486,50.769083,Iran,IR,Alborz,minor,,
